"","contrast","Gene","logFC","P.Value"
"978","A583T","UBC4",2.80053847337964,0.00177764665142918
"1096","A583T","EXO84",1.70733427408824,0.020103387517777
"1948","A583T","POF1",-5.04553396402253,3.89474410163159e-05
"2981","A583T","INH1",-1.636702205243,2.59167348639777e-06
"3981","A583T","AHA1",-1.89302038684874,1.1113719849149e-13
"4064","A583T","RTN1",-1.53561908143024,4.64073900728851e-12
"4084","A583T","FMN1",-1.613961975151,2.66545044638826e-06
"4153","A583T","YDR248C",-1.6198683100845,2.23577479478729e-12
"4177","A583T","HSP78",-1.91357834416002,1.16036098808258e-13
"5907","A583T","YER079W",-1.81118614216028,0.0012221976945153
"6032","A583T","SSA4",-1.94216282259183,7.23820315402763e-10
"8691","A583T","PHO81",-2.96176125621931,0.048085234764344
"9508","A583T","RPF1",2.33387973523973,0.0320496260049543
"9535","A583T","YHR097C",3.29849072017516,0.0398343140604208
"11794","A583T","ANB1",-3.82196768879101,0.00203579595776924
"12215","A583T","YJR149W",-1.66026557242722,0.0163592563579908
"12327","A583T","CDC16",-2.09034120698407,0.015872056411947
"14196","A583T","STM1",1.7848853282077,0.000103757399187844
"14243","A583T","APS1",2.82273711617069,0.00267688603480757
"14490","A583T","MSC3",1.78974773978872,0.0236721621705935
"14744","A583T","MEC3",2.08425574187603,0.0222058008962061
"14872","A583T","BUD6",1.65531107576248,0.0540068432645624
"14956","A583T","VRP1",1.53751030452908,0.0353801440134219
"15646","A583T","CYB2",-1.64473105099174,6.54413873222224e-08
"17548","A583T","RPC19",2.47678075601667,0.033110299424187
"18705","A583T","TOP1",1.8050941893487,0.000480104279603035
"20828","A583T","RPL21B",1.56187708440681,0.0493372838652115
"220","G309S","ACS1",1.52445473594749,0.000100420386336196
"539","G309S","TOD6",1.95467180055144,0.000191230658921503
"928","G309S","HSP26",4.74948221679667,9.84811009326806e-14
"980","G309S","UBC4",2.13046730139457,0.0129022285962352
"1296","G309S","ADH5",-1.8549648211973,7.17584183705965e-11
"1530","G309S","YBR208C",-2.40879616804648,2.38583588376229e-18
"1709","G309S","RIB5",-1.77999994355331,7.67639028742638e-12
"2300","G309S","YCR102C",-1.87772562391041,3.5983249740925e-05
"2661","G309S","DUN1",2.03982185423049,0.00187586732675369
"3357","G309S","ENA5",1.84500834774854,0.0383248330417657
"3361","G309S","ENA2",1.84500834774854,0.0383248330417657
"3367","G309S","ENA1",1.84500834774854,0.0383248330417657
"3633","G309S","DPB4",1.64376225907308,0.000609998490913032
"4031","G309S","ADK1",-1.58493494096227,1.21358151163474e-17
"4075","G309S","LYS4",-1.57340485410568,1.53512122584473e-12
"4080","G309S","FMN1",-2.41849494321299,4.07656932360353e-09
"4115","G309S","AMD2",-2.90822941638772,6.43633119681375e-07
"4155","G309S","YDR248C",-2.30592413988407,1.84036017681925e-15
"4183","G309S","HSP78",-1.64337769073635,2.37182222463293e-12
"4605","G309S","SDH6",-1.506723512807,0.00823812938894375
"4633","G309S","RPP2B",-3.87775177690254,0.0237532996476763
"5535","G309S","DSF1",-1.62445888004975,0.00019311325233051
"5798","G309S","GIP2",1.66485283850214,0.00689343141932025
"5924","G309S","SER3",-2.09764214361671,1.26528180304633e-08
"6035","G309S","SSA4",-1.72784095062407,5.80092826140682e-09
"6290","G309S","GRX4",1.59681706286716,0.000435405613921139
"6294","G309S","TMT1",-2.89718368517822,2.32217427097722e-14
"6554","G309S","SNZ3",-1.90538577090173,3.34393331501738e-05
"7360","G309S","MET13",-1.70654352110439,1.26029302498512e-13
"7653","G309S","NCS6",2.01635427359263,7.50196526211214e-06
"7711","G309S","SDT1",-1.63974696810498,2.28683113015351e-06
"7843","G309S","ADH4",-1.77396140077607,0.0208767881993944
"8084","G309S","PDC6",-2.65129507612036,0.0398331397804617
"8913","G309S","IMA1",-2.14437969420244,2.5940668805999e-13
"9149","G309S","ARG4",-2.01346945388218,3.29200736062492e-14
"9232","G309S","YHI9",-2.20026664575505,1.15017884546853e-13
"10014","G309S","IMD2",1.66323958239095,0.00673581641169888
"10484","G309S","HIS5",-1.78273751158945,4.42363515459997e-13
"10747","G309S","DAL7",-4.22607114312071,4.99747405133144e-18
"10764","G309S","DAL3",-3.48154043687914,8.93151372816531e-13
"10773","G309S","LYS1",-2.31614121813326,5.27388198630989e-13
"11338","G309S","INO1",-3.09847090962367,1.46081167389468e-07
"11413","G309S","CPS1",-1.51706825172338,4.06461485810967e-12
"11662","G309S","MET3",-1.9212337600873,6.52334003705227e-11
"11799","G309S","ANB1",-3.55943838745472,0.00360172520585875
"12153","G309S","MET5",-1.70248730620514,1.08542640198447e-13
"12217","G309S","YJR149W",-2.15145632468719,0.00278750609420304
"12531","G309S","DHR2",2.03983261862868,0.00104609950427378
"12671","G309S","HSL1",-2.99469640083737,0.0220851164232917
"12949","G309S","TPK3",2.03847775075602,2.82142677047409e-08
"13302","G309S","GAP1",-2.34713526272142,4.70551517232419e-12
"14201","G309S","STM1",1.9989187337717,2.65969992417063e-05
"14459","G309S","FRE1",1.62867790208048,0.0305394341240535
"14749","G309S","MEC3",2.02113581475186,0.0260709338805278
"14778","G309S","ECM38",-1.92732442521253,6.704296315895e-07
"16144","G309S","SAM37",-2.13711833365586,0.0346228202348732
"16161","G309S","ARG7",-1.52322125466423,1.39174184054755e-10
"16290","G309S","SNZ1",-3.32092504419534,1.62479316956808e-10
"16616","G309S","GCV2",-1.69833438072235,5.18251509238579e-09
"16817","G309S","RNT1",1.87529620314653,0.0149890910314435
"16928","G309S","BUL1",1.69704991367197,1.05231510470146e-10
"17777","G309S","MRPL22",1.5266441413724,0.016605478332229
"18262","G309S","MCK1",4.49137603199077,1.06416070727203e-21
"18381","G309S","SNZ2",-1.90538577090173,3.34393331501738e-05
"18555","G309S","YNR034W-A",2.15637462594213,3.9786667297173e-06
"18649","G309S","YNR065C",-1.55143534750173,3.45501310384731e-10
"18664","G309S","YNR066C",-1.87855830632884,0.000137412930840264
"18676","G309S","YNR073C",-1.62445888004975,0.00019311325233051
"18704","G309S","TOP1",1.89915450927246,0.000285891338034489
"18910","G309S","ARG1",-2.21012145574193,2.48883012240496e-10
"19174","G309S","ARG8",-1.51376247988615,1.80189430891597e-05
"19717","G309S","MRPL23",2.13649996631082,0.014120403900946
"20014","G309S","ODC2",-1.78552309676493,0.00443671313262455
"20974","G309S","GDE1",-1.97730375821151,0.04114818429469
"21102","G309S","RPL33A",1.68310990023983,0.00981099071400088
"21409","G309S","FMP40",1.83995965308636,0.00480486678660523
"21589","G309S","SAM4",2.07254546570322,3.90819993032623e-16
"975","G424D","UBC4",3.29968966695231,0.000384496826467208
"1946","G424D","POF1",-4.07358828984059,0.000425849548420078
"3108","G424D","CWC2",-1.52203159051907,0.0268674467728635
"3984","G424D","AHA1",-1.55725978061505,5.26060820123173e-12
"4012","G424D","YDR222W",-1.51555321041501,6.16135946299497e-07
"4063","G424D","RTN1",-1.50205234348991,7.12391859321368e-12
"4133","G424D","PEX5",2.99825345288843,0.0472735801330578
"10737","G424D","DAL81",1.94619833049125,0.0549801130919033
"11796","G424D","ANB1",-3.37927310485195,0.00530139790236679
"17546","G424D","RPC19",3.40980302337336,0.00490056248723349
"18707","G424D","TOP1",1.81198303873408,0.000462226294625019
"20879","G424D","AAD16",1.76608214649841,0.00071233047773149
"20979","G424D","GDE1",-1.96103303697882,0.0426866648517773
"977","K102E","UBC4",3.65099439205435,0.000130294827431939
"1486","K102E","KTR4",-1.58617067985249,0.00348095683255749
