GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0044281	small molecule metabolic process	1.23738921276842e-35	9.5921644400653e-39	132	350	837	7166	0.00%	0.00	SDT1, ERG27, IDP2, THI6, PDC6, DPS1, HSP32, PNP1, MET5, YNR073C, ALT1, SHM2, LCB5, YNL200C, PNC1, DLD1, FAA1, SER3, TKL2, DAL3, YCL047C, HXK1, SNZ1, ALD3, TMA17, AAH1, HIS3, IDH2, UGA1, MCR1, ACS1, SIW14, SDH7, GIP2, ADH4, VTC4, SNZ3, NDI1, DAL81, SPE1, IGD1, TDH1, ADK1, ATP20, VTC2, TAL1, YBR208C, FBP26, PHO84, ARG8, MET14, COX2, ILV5, ATP17, GPD1, VTC3, CIT1, SNZ2, YIL160C, LYS4, SDH2, GCV2, CDD1, IMD2, YBR145W, MET3, GLK1, ETR1, ADE16, PCK1, ARG4, FMN1, BUD16, MHT1, BDH2, ACO1, COX4, LYS1, ARG1, SLM5, YMR315W, ATP4, GPM2, YJR096W, COX13, CAT2, NQM1, ARO10, IDH1, DAL7, PHO5, STR2, YKL151C, QCR2, YLR345W, GRE3, SOL4, ACS2, CYB2, BNA5, EHT1, HSP33, UGA2, PAD1, SAM4, PFK26, GFA1, ARG7, AMS1, CYC7, MET13, DLD3, HIS5, GND2, ALD4, RIB5, ALD2, POS5, MDH1, GOR1, INO1, YDR248C, DSF1, GCY1, XKS1, MDH2, GAD1, SNO4, YLL058W, DAK2, YDL124W, GDH2
GO:0043436	oxoacid metabolic process	6.69149299832148e-22	5.18720387466782e-25	79	350	452	7166	0.00%	0.00	YLR345W, IDH2, HIS3, TMA17, STR2, PHO5, ALD3, SNZ1, HXK1, DAL7, IDH1, ARO10, SER3, FAA1, DLD1, CAT2, GPM2, SHM2, SLM5, ALT1, ARG1, LYS1, ACO1, MET5, MHT1, HSP32, ARG4, DPS1, ETR1, GLK1, PDC6, MET3, IDP2, GDH2, YBR145W, GCV2, YLL058W, SDH2, GAD1, SNO4, LYS4, YIL160C, CIT1, SNZ2, VTC3, MDH2, YDR248C, ILV5, GOR1, MET14, MDH1, ARG8, ALD2, PHO84, ALD4, GND2, HIS5, DLD3, VTC2, MET13, TDH1, ARG7, GFA1, SPE1, SAM4, DAL81, PAD1, VTC4, SNZ3, ADH4, UGA2, HSP33, EHT1, SDH7, BNA5, ACS1, CYB2, UGA1, ACS2
GO:0006082	organic acid metabolic process	9.04857500535488e-22	7.01439922895727e-25	79	350	454	7166	0.00%	0.00	DLD1, FAA1, SER3, ARO10, GPM2, CAT2, TMA17, YLR345W, IDH2, HIS3, IDH1, DAL7, HXK1, STR2, ALD3, SNZ1, PHO5, DPS1, ARG4, MET5, MHT1, HSP32, IDP2, MET3, GLK1, PDC6, ETR1, SLM5, SHM2, ACO1, LYS1, ARG1, ALT1, ARG8, GOR1, MDH1, MET14, ILV5, YDR248C, DLD3, HIS5, PHO84, GND2, ALD4, ALD2, GCV2, YBR145W, GDH2, VTC3, MDH2, YIL160C, CIT1, SNZ2, YLL058W, SDH2, SNO4, GAD1, LYS4, ACS1, SDH7, BNA5, ADH4, UGA2, HSP33, EHT1, ACS2, UGA1, CYB2, MET13, TDH1, VTC2, PAD1, DAL81, VTC4, SNZ3, SPE1, SAM4, GFA1, ARG7
GO:0019752	carboxylic acid metabolic process	1.20134407937338e-19	9.31274480134404e-23	74	350	433	7166	0.00%	0.00	ACS2, CYB2, UGA1, BNA5, SDH7, ACS1, ADH4, UGA2, HSP33, EHT1, SPE1, SAM4, PAD1, DAL81, SNZ3, ARG7, GFA1, MET13, TDH1, HIS5, DLD3, ALD2, GND2, ALD4, GOR1, MDH1, MET14, ARG8, YDR248C, ILV5, MDH2, YLL058W, LYS4, SDH2, GAD1, SNO4, SNZ2, CIT1, YIL160C, YBR145W, GCV2, GDH2, MET3, IDP2, ETR1, GLK1, PDC6, DPS1, MET5, MHT1, HSP32, ARG4, LYS1, ACO1, ALT1, ARG1, SLM5, SHM2, GPM2, CAT2, SER3, FAA1, DLD1, ARO10, DAL7, IDH1, STR2, ALD3, SNZ1, HXK1, TMA17, YLR345W, IDH2, HIS3
GO:0044283	small molecule biosynthetic process	1.6318410478375e-11	1.26499306033915e-14	53	350	339	7166	0.00%	0.00	SER3, ARO10, LCB5, TMA17, HIS3, IDH2, IDH1, ALD3, SNZ1, STR2, PCK1, FMN1, ARG4, HSP32, MHT1, BUD16, MET5, ERG27, THI6, PDC6, ETR1, SHM2, BDH2, LYS1, ARG1, ALT1, ARG8, MET14, INO1, ILV5, DLD3, HIS5, ALD4, RIB5, ALD2, YBR145W, MDH2, SNZ2, LYS4, SNO4, YLL058W, SDH7, BNA5, HSP33, EHT1, ADH4, MCR1, MET13, TDH1, SNZ3, SPE1, SAM4, ARG7
GO:0006732	coenzyme metabolic process	6.0033153595502e-11	4.65373283686062e-14	39	350	201	7166	0.00%	0.00	ALD3, SNZ1, HXK1, SNZ2, CIT1, GPD1, YLR345W, YKL151C, YBR145W, YNL200C, ALD2, GND2, ALD4, TAL1, GPM2, YCL047C, NQM1, FAA1, TKL2, POS5, PNC1, SAM4, SPE1, SNZ3, NDI1, YMR315W, SHM2, MET13, TDH1, GLK1, THI6, SOL4, ACS2, IDP2, PNP1, BUD16, FMN1, BNA5, ACS1
GO:0072524	pyridine-containing compound metabolic process	6.17229734867758e-11	4.78472662688185e-14	27	350	97	7166	0.00%	0.00	SNZ1, HXK1, SNZ2, GPD1, YLR345W, YKL151C, YBR145W, YNL200C, ALD4, GND2, TAL1, GPM2, NQM1, YCL047C, TKL2, PNC1, POS5, NDI1, SNZ3, YMR315W, TDH1, GLK1, SOL4, IDP2, PNP1, BUD16, BNA5
GO:0051186	cofactor metabolic process	6.69670441584584e-11	5.19124373321383e-14	46	350	273	7166	0.00%	0.00	ARA2, TAL1, ALD2, GND2, ALD4, GTT1, POS5, GPD1, ECM38, SNZ2, CIT1, YBR145W, GDH2, ACS2, SOL4, BNA5, ACS1, SAM4, SPE1, NDI1, CTT1, SNZ3, AHP1, TDH1, MET13, TSA2, GPM2, YNL200C, TKL2, FAA1, PNC1, NQM1, YCL047C, SNZ1, ALD3, HXK1, YKL151C, YLR345W, THI6, IDP2, GLK1, BUD16, PNP1, FMN1, YMR315W, SHM2
GO:0005975	carbohydrate metabolic process	2.02748126698645e-10	1.57169090464066e-13	48	350	303	7166	0.00%	0.00	BGL2, SOL4, HSP104, SIW14, IMA1, GIP2, SDH7, TPS2, GFA1, PFK26, AMS1, IGD1, TDH1, TAL1, GSY1, ARA1, GND2, FBP26, GSY2, INO1, EXG1, DSF1, YDR248C, MDH2, GCY1, XKS1, GPD1, CIT1, DAK2, YBR145W, TPS1, GPH1, IDP2, GLK1, PCK1, GLC3, YNR073C, YML100W, HOC1, YJR096W, GPM2, NQM1, DAL7, YMR196W, HXK1, GDB1, GRE3, YLR345W
GO:0006520	cellular amino acid metabolic process	1.19064863664537e-09	9.22983439259979e-13	42	350	251	7166	0.00%	0.00	MET3, UGA1, PDC6, DPS1, BNA5, MHT1, UGA2, ADH4, MET5, ARG4, SAM4, SPE1, LYS1, SNZ3, DAL81, ARG7, ALT1, ARG1, GFA1, SLM5, SHM2, MET13, HIS5, ALD2, SER3, MET14, ARG8, ARO10, ILV5, IDH1, LYS4, ALD3, GAD1, SNZ1, YLL058W, STR2, SNZ2, YBR145W, GCV2, HIS3, GDH2, IDH2
