TYPE,HSP90,HSP90 Systematic Name,Gene,Systemic Name,Source,Reference
Genetic,HSC82,YMR186W,AAH1,YNL141W,BioGRID,"Choi J, et al. (2017) PMID:28520786"
Genetic,HSC82,YMR186W,AAR2,YBL074C,BioGRID,"Costanzo M, et al. (2016) PMID:27708008"
Genetic,HSC82,YMR186W,AAR2,YBL074C,BioGRID,"Costanzo M, et al. (2016) PMID:27708008"
Genetic,HSC82,YMR186W,ABD1,YBR236C,BioGRID,"Costanzo M, et al. (2010) PMID:20093466"
Genetic,HSC82,YMR186W,ABD1,YBR236C,BioGRID,"Costanzo M, et al. (2016) PMID:27708008"
Genetic,HSC82,YMR186W,ABD1,YBR236C,BioGRID,"Costanzo M, et al. (2016) PMID:27708008"
Genetic,HSC82,YMR186W,ABP140,YOR239W,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,ACC1,YNR016C,BioGRID,"Costanzo M, et al. (2016) PMID:27708008"
Genetic,HSC82,YMR186W,ACC1,YNR016C,BioGRID,"Costanzo M, et al. (2016) PMID:27708008"
Genetic,HSC82,YMR186W,ACO1,YLR304C,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,ACO1,YLR304C,BioGRID,"Franzosa EA, et al. (2011) PMID:22140548"
Genetic,HSC82,YMR186W,ACS2,YLR153C,BioGRID,"Costanzo M, et al. (2016) PMID:27708008"
Genetic,HSC82,YMR186W,ACT1,YFL039C,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,ACT1,YFL039C,BioGRID,"Costanzo M, et al. (2010) PMID:20093466"
Genetic,HSC82,YMR186W,ACT1,YFL039C,BioGRID,"Costanzo M, et al. (2016) PMID:27708008"
Genetic,HSC82,YMR186W,ADD66,YKL206C,BioGRID,"Franzosa EA, et al. (2011) PMID:22140548"
Genetic,HSC82,YMR186W,ADE1,YAR015W,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,ADE2,YOR128C,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,ADE2,YOR128C,BioGRID,"Franzosa EA, et al. (2011) PMID:22140548"
Genetic,HSC82,YMR186W,ADE4,YMR300C,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,ADE57,YGL234W,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,ADH1,YOL086C,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,ADH3,YMR083W,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,ADK1,YDR226W,BioGRID,"Franzosa EA, et al. (2011) PMID:22140548"
Genetic,HSC82,YMR186W,ADY3,YDL239C,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,AEP3,YPL005W,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,AFG3,YER017C,BioGRID,Francis BR and Thorsness PE (2011) PMID:21439406
Genetic,HSC82,YMR186W,AGC1,YPR021C,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,AGC1,YPR021C,BioGRID,"Franzosa EA, et al. (2011) PMID:22140548"
Genetic,HSC82,YMR186W,AGE2,YIL044C,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,AHA1,YDR214W,BioGRID,"Mercier R, et al. (2019) PMID:30894538"
Genetic,HSC82,YMR186W,AIM2,YAL049C,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,AIM26,YKL037W,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,AIM36,YMR157C,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,AIP5,YFR016C,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,AKR1,YDR264C,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,ALD6,YPL061W,BioGRID,"Costanzo M, et al. (2016) PMID:27708008"
Genetic,HSC82,YMR186W,ALG13,YGL047W,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,ALG5,YPL227C,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,ALR1,YOL130W,BioGRID,"Costanzo M, et al. (2010) PMID:20093466"
Genetic,HSC82,YMR186W,ALR2,YFL050C,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,ALT1,YLR089C,BioGRID,"Franzosa EA, et al. (2011) PMID:22140548"
Genetic,HSC82,YMR186W,AMF1,YOR378W,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,ANB1,YJR047C,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,APC1,YNL172W,BioGRID,"Costanzo M, et al. (2016) PMID:27708008"
Genetic,HSC82,YMR186W,APC5,YOR249C,BioGRID,"Costanzo M, et al. (2010) PMID:20093466"
Genetic,HSC82,YMR186W,APC5,YOR249C,BioGRID,"Costanzo M, et al. (2016) PMID:27708008"
Genetic,HSC82,YMR186W,APC5,YOR249C,BioGRID,"Costanzo M, et al. (2016) PMID:27708008"
Genetic,HSC82,YMR186W,APC5,YOR249C,BioGRID,"Costanzo M, et al. (2016) PMID:27708008"
Genetic,HSC82,YMR186W,APL2,YKL135C,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,APL2,YKL135C,BioGRID,"Franzosa EA, et al. (2011) PMID:22140548"
Genetic,HSC82,YMR186W,APL6,YGR261C,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,APM1,YPL259C,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,APM3,YBR288C,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,APN2,YBL019W,BioGRID,"Franzosa EA, et al. (2011) PMID:22140548"
Genetic,HSC82,YMR186W,APS3,YJL024C,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,AQY3,YFL054C,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,ARC19,YKL013C,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,ARC35,YNR035C,BioGRID,"Costanzo M, et al. (2010) PMID:20093466"
Genetic,HSC82,YMR186W,ARC35,YNR035C,BioGRID,"Costanzo M, et al. (2016) PMID:27708008"
Genetic,HSC82,YMR186W,ARC35,YNR035C,BioGRID,"Costanzo M, et al. (2016) PMID:27708008"
Genetic,HSC82,YMR186W,ARC35,YNR035C,BioGRID,"Costanzo M, et al. (2016) PMID:27708008"
Genetic,HSC82,YMR186W,ARC35,YNR035C,BioGRID,"Costanzo M, et al. (2016) PMID:27708008"
Genetic,HSC82,YMR186W,ARC40,YBR234C,BioGRID,"Costanzo M, et al. (2016) PMID:27708008"
Genetic,HSC82,YMR186W,ARC40,YBR234C,BioGRID,"Costanzo M, et al. (2016) PMID:27708008"
Genetic,HSC82,YMR186W,ARF1,YDL192W,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,ARG80,YMR042W,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,ARG81,YML099C,BioGRID,"Franzosa EA, et al. (2011) PMID:22140548"
Genetic,HSC82,YMR186W,ARL1,YBR164C,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,ARL3,YPL051W,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,ARO9,YHR137W,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
Genetic,HSC82,YMR186W,ARP1,YHR129C,BioGRID,"McClellan AJ, et al. (2007) PMID:17923092"
