Index,Systemic.name,contrast,UniprotID,Gene,logFC,P.Value
978,YBR082C,A583T,P15731,UBC4,2.800538473,0.001777647
1096,YBR102C,A583T,P38261,EXO84,1.707334274,0.020103388
1948,YCL047C,A583T,P25576,POF1,-5.045533964,3.89E-05
2981,YDL181W,A583T,P01097,INH1,-1.636702205,2.59E-06
3981,YDR214W,A583T,Q12449,AHA1,-1.893020387,1.11E-13
4064,YDR233C,A583T,Q04947,RTN1,-1.535619081,4.64E-12
4084,YDR236C,A583T,Q03778,FMN1,-1.613961975,2.67E-06
4153,YDR248C,A583T,Q03786,YDR248C,-1.61986831,2.24E-12
4177,YDR258C,A583T,P33416,HSP78,-1.913578344,1.16E-13
5907,YER079W,A583T,P40052,YER079W,-1.811186142,0.001222198
6032,YER103W,A583T,P22202,SSA4,-1.942162823,7.24E-10
8691,YGR233C,A583T,P17442,PHO81,-2.961761256,0.048085235
9508,YHR088W,A583T,P38805,RPF1,2.333879735,0.032049626
9535,YHR097C,A583T,P38809,YHR097C,3.29849072,0.039834314
11794,YJR047C,A583T,P19211,ANB1,-3.821967689,0.002035796
12215,YJR149W,A583T,P47177,YJR149W,-1.660265572,0.016359256
12327,YKL022C,A583T,P09798,CDC16,-2.090341207,0.015872056
14196,YLR150W,A583T,P39015,STM1,1.784885328,0.000103757
14243,YLR170C,A583T,P35181,APS1,2.822737116,0.002676886
14490,YLR219W,A583T,Q05812,MSC3,1.78974774,0.023672162
14744,YLR288C,A583T,Q02574,MEC3,2.084255742,0.022205801
14872,YLR319C,A583T,P41697,BUD6,1.655311076,0.054006843
14956,YLR337C,A583T,P37370,VRP1,1.537510305,0.035380144
15646,YML054C,A583T,P00175,CYB2,-1.644731051,6.54E-08
17548,YNL113W,A583T,P28000,RPC19,2.476780756,0.033110299
18705,YOL006C,A583T,P04786,TOP1,1.805094189,0.000480104
20828,YPL079W,A583T,Q12672,RPL21B,1.561877084,0.049337284
220,YAL054C,G309S,Q01574,ACS1,1.524454736,0.00010042
539,YBL054W,G309S,P34219,TOD6,1.954671801,0.000191231
928,YBR072W,G309S,P15992,HSP26,4.749482217,9.85E-14
980,YBR082C,G309S,P15731,UBC4,2.130467301,0.012902229
1296,YBR145W,G309S,P38113,ADH5,-1.854964821,7.18E-11
1530,YBR208C,G309S,P32528,YBR208C,-2.408796168,2.39E-18
1709,YBR256C,G309S,P38145,RIB5,-1.779999944,7.68E-12
2300,YCR102C,G309S,P25608,YCR102C,-1.877725624,3.60E-05
2661,YDL101C,G309S,P39009,DUN1,2.039821854,0.001875867
3357,YDR038C,G309S,Q12691,ENA5,1.845008348,0.038324833
3361,YDR039C,G309S,Q01896,ENA2,1.845008348,0.038324833
3367,YDR040C,G309S,P13587,ENA1,1.845008348,0.038324833
3633,YDR121W,G309S,Q04603,DPB4,1.643762259,0.000609998
4031,YDR226W,G309S,P07170,ADK1,-1.584934941,1.21E-17
4075,YDR234W,G309S,P49367,LYS4,-1.573404854,1.54E-12
4080,YDR236C,G309S,Q03778,FMN1,-2.418494943,4.08E-09
4115,YDR242W,G309S,P22580,AMD2,-2.908229416,6.44E-07
4155,YDR248C,G309S,Q03786,YDR248C,-2.30592414,1.84E-15
4183,YDR258C,G309S,P33416,HSP78,-1.643377691,2.37E-12
4605,YDR379C-A,G309S,Q3E785,SDH6,-1.506723513,0.008238129
4633,YDR382W,G309S,P02400,RPP2B,-3.877751777,0.0237533
5535,YEL070W,G309S,P0CX08,DSF1,-1.62445888,0.000193113
5798,YER054C,G309S,P40036,GIP2,1.664852839,0.006893431
5924,YER081W,G309S,P40054,SER3,-2.097642144,1.27E-08
6035,YER103W,G309S,P22202,SSA4,-1.727840951,5.80E-09
6290,YER174C,G309S,P32642,GRX4,1.596817063,0.000435406
6294,YER175C,G309S,P32643,TMT1,-2.897183685,2.32E-14
6554,YFL059W,G309S,P43545,SNZ3,-1.905385771,3.34E-05
7360,YGL125W,G309S,P53128,MET13,-1.706543521,1.26E-13
7653,YGL211W,G309S,P53088,NCS6,2.016354274,7.50E-06
7711,YGL224C,G309S,P53078,SDT1,-1.639746968,2.29E-06
7843,YGL256W,G309S,P10127,ADH4,-1.773961401,0.020876788
8084,YGR087C,G309S,P26263,PDC6,-2.651295076,0.03983314
8913,YGR287C,G309S,P53051,IMA1,-2.144379694,2.59E-13
9149,YHR018C,G309S,P04076,ARG4,-2.013469454,3.29E-14
9232,YHR029C,G309S,P38765,YHI9,-2.200266646,1.15E-13
10014,YHR216W,G309S,P38697,IMD2,1.663239582,0.006735816
10484,YIL116W,G309S,P07172,HIS5,-1.782737512,4.42E-13
10747,YIR031C,G309S,P21826,DAL7,-4.226071143,5.00E-18
10764,YIR032C,G309S,P32459,DAL3,-3.481540437,8.93E-13
10773,YIR034C,G309S,P38998,LYS1,-2.316141218,5.27E-13
11338,YJL153C,G309S,P11986,INO1,-3.09847091,1.46E-07
11413,YJL172W,G309S,P27614,CPS1,-1.517068252,4.06E-12
11662,YJR010W,G309S,P08536,MET3,-1.92123376,6.52E-11
11799,YJR047C,G309S,P19211,ANB1,-3.559438387,0.003601725
12153,YJR137C,G309S,P47169,MET5,-1.702487306,1.09E-13
